Gmt time,Open,High,Low,Close,Volume
01.01.2016 00:00:00.000,3.17596,3.17596,3.17596,3.17596,0
02.01.2016 00:00:00.000,3.17596,3.17596,3.17596,3.17596,0
03.01.2016 00:00:00.000,3.17720,3.18647,3.17268,3.17422,446.25
04.01.2016 00:00:00.000,3.17422,3.22854,3.16743,3.21299,54213.5898
05.01.2016 00:00:00.000,3.21291,3.22605,3.18919,3.21360,49966.2305
06.01.2016 00:00:00.000,3.21355,3.24847,3.20979,3.24093,55305.8516
07.01.2016 00:00:00.000,3.24093,3.28939,3.23901,3.28281,60032.7305
08.01.2016 00:00:00.000,3.28261,3.30933,3.23253,3.30559,54967.9805
09.01.2016 00:00:00.000,3.30559,3.30559,3.30559,3.30559,0
10.01.2016 00:00:00.000,3.31443,3.33998,3.31107,3.32523,859.82
11.01.2016 00:00:00.000,3.32524,3.33096,3.27804,3.30249,47411.0586
12.01.2016 00:00:00.000,3.30248,3.32343,3.27987,3.29280,54858.0508
13.01.2016 00:00:00.000,3.29280,3.30528,3.25468,3.30216,62324.9297
14.01.2016 00:00:00.000,3.30217,3.32981,3.28116,3.28726,67009.7422
15.01.2016 00:00:00.000,3.28727,3.35148,3.28488,3.33117,66872.8125
16.01.2016 00:00:00.000,3.33117,3.33117,3.33117,3.33117,0
17.01.2016 00:00:00.000,3.33547,3.33903,3.33063,3.33451,385.11
18.01.2016 00:00:00.000,3.33430,3.33739,3.29653,3.30991,38114.5391
19.01.2016 00:00:00.000,3.30994,3.32568,3.28173,3.31681,50232
20.01.2016 00:00:00.000,3.31681,3.35667,3.30876,3.31218,77104.9609
21.01.2016 00:00:00.000,3.31217,3.33762,3.26782,3.27940,86489.0781
22.01.2016 00:00:00.000,3.27940,3.28289,3.23964,3.24700,65134.2617
23.01.2016 00:00:00.000,3.24700,3.24700,3.24700,3.24700,0
24.01.2016 00:00:00.000,3.25139,3.25624,3.24187,3.24822,421.49
25.01.2016 00:00:00.000,3.24866,3.28529,3.24400,3.28216,45225.3008
26.01.2016 00:00:00.000,3.28250,3.30068,3.25851,3.27019,53614.6602
27.01.2016 00:00:00.000,3.27020,3.28277,3.24848,3.27592,58352.2813
28.01.2016 00:00:00.000,3.27573,3.27749,3.24268,3.25185,59416.3789
29.01.2016 00:00:00.000,3.25179,3.25492,3.19917,3.20671,66942.9297
30.01.2016 00:00:00.000,3.20671,3.20671,3.20671,3.20671,0
31.01.2016 00:00:00.000,3.20678,3.20806,3.19929,3.20309,952.87
01.02.2016 00:00:00.000,3.20364,3.23894,3.20222,3.21379,50540.3203
