Gmt time,Open,High,Low,Close,Volume
01.01.2016 00:00:00.000,2.02338,2.02338,2.02338,2.02338,0
02.01.2016 00:00:00.000,2.02338,2.02338,2.02338,2.02338,0
03.01.2016 00:00:00.000,2.02375,2.02456,2.01848,2.02306,8383.1201
04.01.2016 00:00:00.000,2.02308,2.05508,2.02142,2.04828,122286.9063
05.01.2016 00:00:00.000,2.04828,2.05405,2.03973,2.04968,134837.25
06.01.2016 00:00:00.000,2.04968,2.07512,2.04606,2.06666,159661
07.01.2016 00:00:00.000,2.06666,2.09079,2.06529,2.08527,177145.375
08.01.2016 00:00:00.000,2.08527,2.09089,2.06558,2.08934,155160.8906
09.01.2016 00:00:00.000,2.08934,2.08934,2.08934,2.08934,0
10.01.2016 00:00:00.000,2.08528,2.09861,2.08483,2.09388,10671.7998
11.01.2016 00:00:00.000,2.09391,2.09487,2.07301,2.08187,165312.25
12.01.2016 00:00:00.000,2.08191,2.09249,2.05191,2.06719,178764.1406
13.01.2016 00:00:00.000,2.06721,2.07883,2.04821,2.07803,172078.9844
14.01.2016 00:00:00.000,2.07799,2.08586,2.05921,2.06207,190402.3125
15.01.2016 00:00:00.000,2.06208,2.09102,2.06159,2.07832,177328.4063
16.01.2016 00:00:00.000,2.07832,2.07832,2.07832,2.07832,0
17.01.2016 00:00:00.000,2.08555,2.08580,2.07793,2.08139,7215.1201
18.01.2016 00:00:00.000,2.08146,2.08219,2.06184,2.07388,134836.1563
19.01.2016 00:00:00.000,2.07393,2.08292,2.04077,2.05199,185193.125
20.01.2016 00:00:00.000,2.05197,2.07673,2.04580,2.04587,204078.3906
21.01.2016 00:00:00.000,2.04587,2.06071,2.02527,2.02796,225074.0469
22.01.2016 00:00:00.000,2.02796,2.04393,2.02256,2.03783,162030.1094
23.01.2016 00:00:00.000,2.03783,2.03783,2.03783,2.03783,0
24.01.2016 00:00:00.000,2.03807,2.03838,2.03416,2.03670,5356.1499
25.01.2016 00:00:00.000,2.03668,2.05368,2.03491,2.05282,154957.0625
26.01.2016 00:00:00.000,2.05282,2.05364,2.03476,2.04769,166843.0156
27.01.2016 00:00:00.000,2.04781,2.05277,2.01496,2.03215,199532.8438
28.01.2016 00:00:00.000,2.03215,2.03326,2.01375,2.02757,185845.5469
29.01.2016 00:00:00.000,2.02755,2.03068,1.99992,2.01143,200818.3125
30.01.2016 00:00:00.000,2.01143,2.01143,2.01143,2.01143,0
31.01.2016 00:00:00.000,2.01308,2.01616,2.01106,2.01540,10163.29
01.02.2016 00:00:00.000,2.01539,2.03551,2.01389,2.02980,171800.7344
02.02.2016 00:00:00.000,2.02980,2.05241,2.02405,2.05081,172964.3438
03.02.2016 00:00:00.000,2.05069,2.05717,2.03287,2.03820,199856.8125
04.02.2016 00:00:00.000,2.03821,2.03821,2.01476,2.02541,186322.6875
05.02.2016 00:00:00.000,2.02541,2.05465,2.01845,2.05370,139357.3906
