Gmt time,Open,High,Low,Close,Volume
01.01.2016 00:00:00.000,7.797,7.797,7.797,7.797,0
02.01.2016 00:00:00.000,7.797,7.797,7.797,7.797,0
03.01.2016 00:00:00.000,7.824,7.842,7.804,7.810,841.92
04.01.2016 00:00:00.000,7.810,7.816,7.618,7.712,29955.2852
05.01.2016 00:00:00.000,7.712,7.748,7.609,7.648,28581.9668
06.01.2016 00:00:00.000,7.647,7.656,7.498,7.510,43049.8789
07.01.2016 00:00:00.000,7.509,7.530,7.275,7.353,52724.4883
08.01.2016 00:00:00.000,7.354,7.481,7.219,7.234,58092.2852
09.01.2016 00:00:00.000,7.234,7.234,7.234,7.234,0
10.01.2016 00:00:00.000,7.247,7.247,6.600,6.988,3241.9241
11.01.2016 00:00:00.000,6.988,7.181,6.941,7.013,42123.2148
12.01.2016 00:00:00.000,7.013,7.198,6.953,7.115,40693.6172
13.01.2016 00:00:00.000,7.114,7.260,7.107,7.116,50234.7383
14.01.2016 00:00:00.000,7.117,7.234,7.068,7.232,46026.0039
15.01.2016 00:00:00.000,7.231,7.234,6.947,7.020,57024.4414
16.01.2016 00:00:00.000,7.020,7.020,7.020,7.020,0
17.01.2016 00:00:00.000,7.043,7.043,6.924,6.966,2270.9031
18.01.2016 00:00:00.000,6.966,7.072,6.964,7.002,23690.0859
19.01.2016 00:00:00.000,7.002,7.150,6.986,7.050,36675.2578
20.01.2016 00:00:00.000,7.050,7.055,6.874,7.039,58395.4883
21.01.2016 00:00:00.000,7.039,7.172,6.934,7.168,52674.3281
22.01.2016 00:00:00.000,7.168,7.268,7.101,7.267,46519.6875
23.01.2016 00:00:00.000,7.267,7.267,7.267,7.267,0
24.01.2016 00:00:00.000,7.273,7.277,7.239,7.252,1546.6021
25.01.2016 00:00:00.000,7.252,7.275,7.176,7.179,34622.5977
26.01.2016 00:00:00.000,7.179,7.289,7.105,7.266,39574.2344
27.01.2016 00:00:00.000,7.266,7.335,7.203,7.236,52200.6563
28.01.2016 00:00:00.000,7.238,7.396,7.233,7.383,43909.8789
29.01.2016 00:00:00.000,7.383,7.676,7.350,7.672,71142.3672
30.01.2016 00:00:00.000,7.672,7.672,7.672,7.672,0
31.01.2016 00:00:00.000,7.694,7.699,7.660,7.683,2017.303
01.02.2016 00:00:00.000,7.683,7.689,7.521,7.622,29929.9297
02.02.2016 00:00:00.000,7.621,7.637,7.377,7.378,34903.1094
03.02.2016 00:00:00.000,7.378,7.459,7.233,7.449,67508.9531
04.02.2016 00:00:00.000,7.449,7.491,7.354,7.407,57426.1406
05.02.2016 00:00:00.000,7.407,7.433,7.328,7.344,59982.7578
06.02.2016 00:00:00.000,7.344,7.344,7.344,7.344,0
07.02.2016 00:00:00.000,7.364,7.380,7.326,7.339,1639.717
08.02.2016 00:00:00.000,7.339,7.411,7.143,7.204,43149.0781
09.02.2016 00:00:00.000,7.204,7.257,7.059,7.210,48642.0742
10.02.2016 00:00:00.000,7.208,7.327,7.140,7.152,61428.457
11.02.2016 00:00:00.000,7.153,7.217,6.952,7.137,58740.0703
12.02.2016 00:00:00.000,7.136,7.206,7.075,7.184,58872.2227
13.02.2016 00:00:00.000,7.184,7.184,7.184,7.184,0
14.02.2016 00:00:00.000,7.258,7.258,7.184,7.201,1168.84
